ID SALE APPOINTMENT;SALE APPOINTMENT DATE;CITY;ZIP CODE;DEPARTMENT;REGION;LATITUDE;LONGITUDE
4730;2018-07-21 16:30:00;RUEIL MALMAISON;92500;Hauts-de-Seine;ILE DE FRANCE;48.883333;2.2
5280;2018-08-23 19:00:00;LIMEIL BREVANNES;94450;Val-de-Marne;ILE DE FRANCE;48.733333;2.483333
6917;2018-11-12 11:00:00;MONTREUIL;93100;Seine-Saint-Denis;ILE DE FRANCE;48.866667;2.433333
2587;2018-04-27 10:30:00;VINCENNES;94300;Val-de-Marne;ILE DE FRANCE;48.85;2.433333
5201;2018-08-16 14:00:00;VILLEPINTE;93420;Seine-Saint-Denis;ILE DE FRANCE;48.966667;2.533333
4212;2018-07-06 19:00:00;BOULOGNE BILLANCOURT;92100;Hauts-de-Seine;ILE DE FRANCE;48.833333;2.25
3116;2018-05-23 20:00:00;STAINS;93240;Seine-Saint-Denis;ILE DE FRANCE;48.95;2.383333
3905;2018-06-26 19:00:00;ST OUEN;93400;Seine-Saint-Denis;ILE DE FRANCE;48.9;2.333333
3305;2018-06-02 10:30:00;BRY SUR MARNE;94360;Val-de-Marne;ILE DE FRANCE;48.833333;2.516667
1302;2018-02-28 10:00:00;ORMESSON SUR MARNE;94490;Val-de-Marne;ILE DE FRANCE;48.783333;2.55
1905;2018-03-24 14:00:00;NOISY LE GRAND;93160;Seine-Saint-Denis;ILE DE FRANCE;48.85;2.566667
2848;2018-05-12 09:00:00;CACHAN;94230;Val-de-Marne;ILE DE FRANCE;48.783333;2.333333
6743;2018-11-06 18:00:00;VILLENEUVE ST GEORGES;94190;Val-de-Marne;ILE DE FRANCE;48.733333;2.45
6184;2018-10-11 15:00:00;PARIS;75008;Paris;ILE DE FRANCE;48.8736011;2.307613
4346;2018-07-10 14:00:00;PARIS;75015;Paris;ILE DE FRANCE;48.8349275;2.2889766
4706;2018-07-21 10:00:00;LE PERREUX SUR MARNE;94170;Val-de-Marne;ILE DE FRANCE;48.85;2.5
5393;2018-08-30 18:30:00;PARIS;75007;Paris;ILE DE FRANCE;48.8508335;2.3243572
7285;2018-11-27 09:00:00;SCEAUX;92330;Hauts-de-Seine;ILE DE FRANCE;48.783333;2.283333
3577;2018-06-14 10:00:00;SEVRAN;93270;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.533333
7014;2018-11-15 14:00:00;TREMBLAY EN FRANCE;93290;Seine-Saint-Denis;ILE DE FRANCE;48.9562;2.57639
7639;2018-12-10 15:00:00;SCEAUX;92330;Hauts-de-Seine;ILE DE FRANCE;48.783333;2.283333
3326;2018-06-04 11:00:00;LES PAVILLONS SOUS BOIS;93320;Seine-Saint-Denis;ILE DE FRANCE;48.9;2.516667
3383;2018-06-05 18:00:00;EPINAY SUR SEINE;93800;Seine-Saint-Denis;ILE DE FRANCE;48.95;2.308333
7405;2018-11-30 19:30:00;PARIS;75017;Paris;ILE DE FRANCE;48.8848133;2.3028392999999996
3480;2018-06-09 15:00:00;SURESNES;92150;Hauts-de-Seine;ILE DE FRANCE;48.866667;2.233333
3190;2018-05-28 14:00:00;PARIS;75017;Paris;ILE DE FRANCE;48.8848133;2.3028392999999996
7709;2018-12-12 10:15:00;BOULOGNE BILLANCOURT;92100;Hauts-de-Seine;ILE DE FRANCE;48.833333;2.25
4447;2018-07-13 09:00:00;PARIS;75017;Paris;ILE DE FRANCE;48.8848133;2.3028392999999996
6690;2018-11-03 15:00:00;VILLEJUIF;94800;Val-de-Marne;ILE DE FRANCE;48.8;2.366667
6143;2018-10-09 16:00:00;CHAMPIGNY SUR MARNE;94500;Val-de-Marne;ILE DE FRANCE;48.816667;2.516667
7280;2018-11-27 09:00:00;LE BLANC MESNIL;93150;Seine-Saint-Denis;ILE DE FRANCE;48.933333;2.45
